`CASE IDENTIFICATION NUMBER',telephne,city,county,ethcode,centract,HIGH PERCENTAGE BLACK TRACT,SAMPLING FRAME,`PARTICIPATE IN 1984 ELECTION',REGISTRATION STATUS IN 1984,PARTY REGISTRATION STATUS OF INDIVI,`CONTRIBUTE $$ TO POLITICAL UNIT IN 84',`EXHIBIT STICKER OR POSTER IN 84',`POLI WORK ON CAMPAIGN 84',`ATTENDED POLITICAL RALLY 84',MICHIGAN PARTYID,`CMCATE OPINION TO ELECTED OFFICIALS',`CMCATE OPINION TO NEWSMEDIA',`WORKED WITH GROUP AGAINST PROBLEM',COMMUNITY ORGANIZATION PROBLEM,TYPE OF COMM. ORG. PROBLEM,RELIGIOUS AFFILIATION,EVANGELICAL PROTESTANTS,PROTESTANT DENOMINATION,`LEVEL OF EDUCATION COMPLETED',`MARITAL STATUS',`HAVE CHILDREN',`NUMBER OF CHILDREN',`NUMBER OF CHILDREN IN SCHOOL',`WILL CHILDREN GO TO COLLEGE',`MOST IMP SOURCE OF INCOME',`IMP INCOME-EARNER''S RELSHIP TO RESP',`RESPONDENT''S EMPLOYMENT STATUS IN 84',`RESPONDENT''S OCCUPATION',`RESPONDENT UNEMPLOYED IN 84',`RESPONDENT''S UNION MEMBERSHIP',`RELATIVE''S EMPLOYMENT STATUS IN 84',`RELATIVE''S OCCUPATION',`RELATIVE UNEMPLOYED IN 84',`RELATIVE''S UNION MEMBERSHIP',HEAD OF HOUSEHOLD EMPLOYMENT STATUS,HEAD OF HOUSEHOLD OCCUPATION,HEAD OF HOUSEHOLD UNEMPLOYED IN 84,HEAD OF HOUSEHOLD'S UNION MEMBERSHIP,`RACIAL GROUP -- RGROUP1',natnlity,ETHNIC IDENTIFICATION,ASIAN-AMERICAN GROUPS,HISPANIC GROUP ID,`BIGGEST PROBLEM OF USA',`SPECIAL PROBLEMS OF RGROUP1',`BIGGEST PROBLEM OF RGROUP1',`GOVT REQD TO SOLVE PROBLEM OF RGRP1',`GOVT LEVEL TO SOLVE PROBLEM OF RGRP1',`IF OTHER GRP TO SOLVE PROBLEM OF RGRP1',`ANY OTHER GROUP OF ID OR RGROUP2',`OTHER GROUP OF ID OR RGROUP2',`BIGGEST PROBLEM OF RGROUP2',`GOVT REQD TO SOLVE PROBLEM OF RGRP2',`GOVT LEVEL TO SOLVE PROBLEM OF RGRP2',`IF OTHR GRP TO SOLVE PROBLEM OF RGRP2',`GROUPS WITH FEWER OPPORTUNITIES',`GROUP WITH FEWER OPPORTUNITIES',`OTHER GROUP WITH FEWER OPPORTUNITIES',`OTHER GROUP WITH FEWER OPPORTUNITIES' 2,`OTHER GROUP WITH FEWER OPPORTUNITIES' 3,`GROUPS WITH MORE OPPORTUNITIES',`GROUP WITH MORE OPPORTUNITIES',`OTHER GROUP WITH MORE OPPORTUNITIES',`GROUPS WITH MORE OPPORTUNITIES' 2,`GROUPS WITH MORE OPPORTUNITIES' 3,`AMERICANS PREJUDICED TO RGROUP1',`PARTICULAR GROUP PREJUDICED TO RGROUP1',`PERSONAL EXPERIENCE OF DISCRIMINATION',`SITUATION OF DISCRIMINATION',`FUTURE AMOUNT OF PREJUDICE',`INCREASED MILITARY SPENDING',`EQUAL RIGHTS AMENDMENT',`TAX CREDIT FOR PAROCHIAL-PVT SCHOOL',`PRAYER IN PUBLIC SCHOOL',`INCREASED SPENDING ON WELFARE',`BAN FED SPENDING ON ABORTIONS',`BAN HANDGUNS',`DEATH PENALTY FOR MURDER',`AMNESTY FOR ILLEGAL IMMIGRATION',`USE OF EMPLOYER SANCTIONS',`BILINGUAL EDUCATION PROGRAMS',`BILINGUAL BALLOTS',`VIEWS ON ABORTION',`RESPONDENT''S COUNTRY OF BIRTH',`IF PARENTS BORN IN US',`COUNTRY OF FATHER''S BIRTH',`COUNTRY OF MOTHER''S BIRTH',`SOCIAL LINKS WITH COUNTRY OF ORIGIN',`MONEY SENT HOME TO CTRY OF ORIGIN',`INTENTION TO SETTLE IN US',yentry,`IF US CITIZEN YET',`STATE IN US WHERE RESPONDENT WAS BORN',`GENERATION ENTERING CALIFORNIA',`SOCIAL LINKS WITH STATE:ORIGIN IN US',`PRIMARY NON-ENGLISH LANGUAGE',`USED BALLOT OF OTHER LANGUAGE IN 1984',yyrborn,`HOME OWNER OR RENTER',`INCOME LEVEL',`PRESIDENTIAL VOTE CHOICE 84',`IMPORTANCE OF VOTING',`SEX OF RESPONDENT',`CO-OPERATION OF RESPONDENT',`INFORMATION LEVEL OF RESPONDENT',`SINCERITY OF RESPONDENT',IMMIGRANT GENERATION,NON-ENG PRIMARY LANG OR SPAN INTERVIEW,`SPANISH LANGUAGE INTERVIEWS',`PRIMARY LANG: NON-ENGLISH OR SPANISH'
153,415432,49,13,N,313102,0,OTHER,YES,REGISTERED,DEMOCRAT,YES,NO,NO,NO,STRONG DEMOCRAT,NEVER,NEVER,YES,TEENAGERS,MORAL VALUES,PROTESTANT,EVANGELICAL,BAPTIST,SOME COLLEGE,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,BROTHER,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,NO,DK/NA,WORKING,PROF/TECHNICAL,NO,DK/NA,OTHER,HISPANIC,HISPANIC,INAP,MEXICAN,ECO:GEN,YES,UNEMPLOYMENT,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,YES,MEXI-AMS/HISPANICS,DK/NA,DK/NA,INAP,INAP,YES,BLACKS,DK/NA,INAP,INAP,YES,WHITES,DK/NA,INAP,INAP,INAP,INAP,INAP,INAP,INAP,OPPOSE,FAVOR,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,OPPOSE,OPPOSE,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,MEXICO,INAP,INAP,INAP,YES,NO,WILL STAY IN U.S.,62,CITIZEN,ZZ,INAP,DK/NA,SPANISH,NO,61,OWN,DK/NA,MONDALE,IMPORTANT,FEMALE,GOOD,AVERAGE,USUALLY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
154,619479,80,73,N,3102,HIGH PERCENTAGE BLACK,OTHER,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,STRONG REPUBLICAN,SELDOM,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,0-8 YEARS,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,SISTER,INAP,INAP,INAP,INAP,WORKING,CLERICAL,NO,NO,WORKING,CLERICAL,NO,NO,ASIAN,FILIPINO,ASIAN-AMERICAN,FILIPINO,NON-HISPANIC,HIGH COST OF LIVING,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,SOME ARE,BLACKS,NO,INAP,LESS PREJUDICED,NO OPINION,FAVOR,OPPOSE,FAVOR,FAVOR,OPPOSE,OPPOSE,OPPOSE,OPPOSE,OPPOSE,FAVOR,OPPOSE,SHD NEVER BE PERMTD,PILIPPINES,INAP,INAP,INAP,YES,NO,WILL STAY IN U.S.,79,NOT CITIZEN,ZZ,INAP,DK/NA,INAP,INAP,55,RENT/DO NOT OWN,"LESS THAN $10,000",INAP,IMPORTANT,FEMALE,GOOD,FAIRLY LOW,USUALLY SINCERE,NON-US BORN,NO,ENG LANG INTERVIEWS,NO
155,619469,80,73,N,3107,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,YES,NO,NO,NO,DK/NA,SELDOM,NEVER,NO,0,INAP,PROTESTANT,EVANGELICAL,CHURCH OF CHRIST,SOME HIGH SCHOOL,MARRIED,YES,3 CHILDREN,NO CHILDREN,INAP,RESPONDENT,INAP,WORKING,OPERATIVES,NO,UNION,INAP,INAP,INAP,INAP,WORKING,OPERATIVES,NO,UNION,AMERICAN INDIAN,AMERICAN INDIAN,OTHER/W ASIAN/AM IND,INAP,NON-HISPANIC,DK/NA,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,DK/NA,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,WON'T CHANGE MUCH,FAVOR,FAVOR,OPPOSE,NO OPINION,FAVOR,FAVOR,OPPOSE,FAVOR,OPPOSE,FAVOR,OPPOSE,OPPOSE,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,TX,INAP,YES,INAP,INAP,30,OWN,"$40,000-60,000",DK/NA,IMPORTANT,MALE,GOOD,FAIRLY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
156,714539,70,59,H,88502,0,HISPANIC SURNAME,YES,REGISTERED,REPUBLICAN,NO,NO,NO,NO,STRONG REPUBLICAN,SELDOM,SELDOM,YES,0,DK/NA,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,DAD/ FATHER,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,YES,NO,WORKING,PROF/TECHNICAL,YES,NO,WHITE,GERMAN,WHITE,INAP,NON-HISPANIC,UNEMPLOYMENT,YES,DK/NA,DK/NA,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,OPPOSE,FAVOR,FAVOR,OPPOSE,OPPOSE,FAVOR,ONLY IF RAPE/INCEST,U.S.,NO,LATIN/C AMERICA,LATIN/C AMERICA,INAP,INAP,INAP,100,INAP,LA,INAP,NO,INAP,INAP,6,OWN,DK/NA,REAGAN,IMPORTANT,MALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,NON-US BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
157,415430,65,1,N,4096,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,INDEPENDENT,NO,YES,NO,NO,LEANING DEMOCRAT,SELDOM,SELDOM,NO,0,INAP,PROTESTANT,NOT EVANGELICAL,METHODIST,SOME HIGH SCHOOL,MARRIED,YES,4 CHILDREN,NO CHILDREN,INAP,SOMEONE ELSE,HUSBAND,INAP,INAP,INAP,INAP,RETIRED,INAP,INAP,NO,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,POLITICAL APATHY,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,DK/NA,RETD PEOPLE:ELDERLY,DK/NA,INAP,YES,DK/NA,INAP,INAP,INAP,SOME ARE,WHITES,YES,GETTING A JOB,WON'T CHANGE MUCH,NO OPINION,FAVOR,OPPOSE,NO OPINION,FAVOR,NO OPINION,FAVOR,OPPOSE,FAVOR,OPPOSE,FAVOR,FAVOR,SHD NEVER BE PERMTD,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,AR,INAP,YES,INAP,INAP,19,RENT/DO NOT OWN,"LESS THAN $10,000",MONDALE,NOT IMPORTANT,FEMALE,FAIR,VERY LOW,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
158,415526,65,1,N,4220,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,OTHER,YES,YES,NO,NO,OTHER,SELDOM,NEVER,YES,DRUGS,CRIME,PROTESTANT,NOT EVANGELICAL,PROT. IN GNERAL,SOME TRAINING/TRADE,WIDOWED,YES,2 CHILDREN,2 CHILDREN,WILL GO,RESPONDENT,INAP,WORKING,SERVICE WORKER,NO,NO,INAP,INAP,INAP,INAP,WORKING,SERVICE WORKER,NO,NO,WHITE,AMERICAN,WHITE,INAP,NON-HISPANIC,THREAT/NUCLEAR WAR,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,OPPOSE,FAVOR,FAVOR,OPPOSE,OPPOSE,OPPOSE,OPPOSE,OPPOSE,OPPOSE,FAVOR,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,GRANDPARENTS,INAP,INAP,INAP,40,OWN,"$15,000-20,000",OTHER,IMPORTANT,MALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
159,213731,56,37,N,2222,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,SELDOM,SELDOM,NO,0,INAP,PROTESTANT,EVANGELICAL,BAPTIST,SOME COLLEGE,WIDOWED,YES,1 CHILD,NO CHILDREN,INAP,RESPONDENT,INAP,RETIRED,INAP,INAP,UNION,INAP,INAP,INAP,INAP,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,UNION,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,DK/NA,YES,RACE/ETH DISCRIMINA,GOVT ACTION REQD,LOCAL GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,BLACKS,MEXI-AMS/HISPANICS,DK/NA,INAP,YES,WHITE MEN,DK/NA,INAP,INAP,SOME ARE,BUSINESSMEN,NO,INAP,DK/NA,OPPOSE,FAVOR,OPPOSE,FAVOR,FAVOR,NO OPINION,OPPOSE,FAVOR,OPPOSE,FAVOR,OPPOSE,OPPOSE,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,LA,INAP,YES,INAP,INAP,9,DK/NA,"$10,000-15,000",DK/NA,IMPORTANT,FEMALE,FAIR,AVERAGE,USUALLY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
160,415276,49,1,J,4340,0,ASIAN SURNAME,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,SELDOM,NEVER,YES,CRIME,CRIME,BUDDHIST,NOT PROTESTANT,0,SOME COLLEGE,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,DAD/ FATHER,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,NO,NO,WORKING,PROF/TECHNICAL,NO,NO,ASIAN,JAPANESE,ASIAN-AMERICAN,JAPANESE,NON-HISPANIC,UNEMPLOYMENT,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,RETD PEOPLE:ELDERLY,DISABLED,DK/NA,INAP,NO,INAP,INAP,INAP,INAP,SOME ARE,NO PARTICULAR GRP,NO,INAP,LESS PREJUDICED,FAVOR,FAVOR,NO OPINION,NO OPINION,FAVOR,NO OPINION,NO OPINION,FAVOR,NO OPINION,FAVOR,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,GRANDPARENTS,INAP,INAP,INAP,62,OWN,DK/NA,MONDALE,IMPORTANT,FEMALE,GOOD,AVERAGE,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
161,213966,66,37,H,4035,0,HISPANIC SURNAME,YES,REGISTERED,DEMOCRAT,YES,NO,NO,NO,INDEPENDENT,SELDOM,NEVER,YES,GANGS,CRIME,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,MARRIED,YES,1 CHILD,NO CHILDREN,INAP,RESPONDENT,INAP,RETIRED,INAP,INAP,NO,INAP,INAP,INAP,INAP,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,WHITE,PALESTINIAN,WHITE,INAP,NON-HISPANIC,CRIME,YES,ECO:GEN,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,NON-ENG SPEAKERS,DK/NA,INAP,INAP,NO,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,LESS PREJUDICED,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,ONLY IF RAPE/INCEST,U.S.,NO,EUROPE/WHITE SETTLER,EUROPE/WHITE SETTLER,INAP,INAP,INAP,100,INAP,WI,INAP,NO,INAP,INAP,10,OWN,"$10,000-15,000",DK/NA,IMPORTANT,MALE,GOOD,FAIRLY HIGH,USUALLY SINCERE,NON-US BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
162,213748,56,37,A,2264,HIGH PERCENTAGE BLACK,ASIAN SURNAME,NO,REGISTERED,DEMOCRAT,NO,NO,YES,NO,INDEPENDENT,NEVER,SELDOM,NO,0,INAP,OTHER,NOT PROTESTANT,0,SOME HIGH SCHOOL,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,DAD/ FATHER,INAP,INAP,INAP,INAP,WORKING,LABORER,NO,DK/NA,WORKING,LABORER,NO,DK/NA,ASIAN,CHINESE,ASIAN-AMERICAN,CHINESE,NON-HISPANIC,RACE RELATIONS,YES,LOSS OF ETH. HERITAGE,DK/NA,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,DK/NA,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,DK/NA,NO OPINION,FAVOR,NO OPINION,OPPOSE,FAVOR,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,ALWAYS ONE'S CHOICE,DK/NA,INAP,INAP,INAP,YES,DK/NA,DK/NA,79,NOT CITIZEN,ZZ,INAP,DK/NA,CHINESE,INAP,100,RENT/DO NOT OWN,DK/NA,INAP,IMPORTANT,MALE,GOOD,FAIRLY HIGH,USUALLY SINCERE,DK/NA,YES,ENG LANG INTERVIEWS,YES
163,415355,21,81,J,6034,0,ASIAN SURNAME,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,SELDOM,NEVER,YES,DUMPS ENVIRONMENT,"POLLUTION, LITTER",PROTESTANT,EVANGELICAL,BAPTIST,SOME COLLEGE,DIVORCED,NO,INAP,INAP,INAP,SOMEONE ELSE,DAD/ FATHER,INAP,INAP,INAP,INAP,WORKING,SERVICE WORKER,NO,TEACHERS'ASSO,WORKING,SERVICE WORKER,NO,TEACHERS'ASSO,ASIAN,JAPANESE,ASIAN-AMERICAN,JAPANESE,NON-HISPANIC,ENVIRONMENT/POLLU,DK/NA,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,WOMEN,DK/NA,INAP,INAP,YES,MEN,DK/NA,INAP,INAP,INAP,INAP,INAP,INAP,INAP,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,HI,INAP,YES,INAP,INAP,57,OWN,"$40,000-60,000",MONDALE,IMPORTANT,FEMALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
164,213567,56,37,N,2428,HIGH PERCENTAGE BLACK,OTHER,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,STRONG DEMOCRAT,NEVER,NEVER,NO,0,INAP,PROTESTANT,NOT EVANGELICAL,METHODIST,0-8 YEARS,WIDOWED,YES,2 CHILDREN,NO CHILDREN,INAP,RESPONDENT,INAP,RETIRED,INAP,INAP,NO,INAP,INAP,INAP,INAP,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,UNEMPLOYMENT,YES,UNEMPLOYMENT,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,BLACKS,DK/NA,INAP,INAP,NO,INAP,INAP,INAP,INAP,MOST ARE,INAP,YES,DK/NA,WON'T CHANGE MUCH,OPPOSE,FAVOR,NO OPINION,FAVOR,FAVOR,FAVOR,NO OPINION,OPPOSE,FAVOR,OPPOSE,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,MS,INAP,YES,INAP,INAP,19,OWN,"LESS THAN $10,000",INAP,IMPORTANT,FEMALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
165,415982,85,75,H,118,0,HISPANIC SURNAME,YES,REGISTERED,INDEPENDENT,NO,NO,NO,NO,STRONG DEMOCRAT,SELDOM,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,GRADUATE WORK,SINGLE,NO,INAP,INAP,INAP,RESPONDENT,INAP,UNEMPLOYED/LAID OFF,INAP,INAP,NO,INAP,INAP,INAP,INAP,UNEMPLOYED/LAID OFF,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,PACIFIC ISLANDER,FILIPINO,ASIAN-AMERICAN,FILIPINO,NON-HISPANIC,POVERTY INEQUALITY,DK/NA,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,RETD PEOPLE:ELDERLY,DK/NA,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,MOST ARE,INAP,YES,GETTING A JOB,DK/NA,OPPOSE,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,OPPOSE,OPPOSE,ONLY IF RAPE/INCEST,PILIPPINES,INAP,INAP,INAP,YES,YES,WILL STAY IN U.S.,68,CITIZEN,ZZ,INAP,DK/NA,TAGALOG,NO,25,RENT/DO NOT OWN,"LESS THAN $10,000",MONDALE,IMP IF INTEREST AFF,FEMALE,VERY GOOD,FAIRLY LOW,COMPLETELY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
166,213857,56,37,N,2171,0,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,NEVER,NEVER,YES,NEIGHBORHOOD WATCH,CRIME,PROTESTANT,EVANGELICAL,BAPTIST,0-8 YEARS,MARRIED,NO,INAP,INAP,INAP,RESPONDENT,INAP,RETIRED,INAP,INAP,NO,INAP,INAP,INAP,INAP,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,RACE/ETH DISCRIMINA,YES,RACE/ETH DISCRIMINA,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,DK/NA,INAP,INAP,INAP,INAP,INAP,YES,BLACKS,DK/NA,INAP,INAP,YES,WHITES,DK/NA,INAP,INAP,MOST ARE,INAP,YES,GETTING INTO SCHOOL,LESS PREJUDICED,NO OPINION,NO OPINION,NO OPINION,FAVOR,FAVOR,FAVOR,FAVOR,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,AL,INAP,YES,INAP,INAP,9,OWN,"$10,000-15,000",MONDALE,IMPORTANT,FEMALE,VERY GOOD,VERY LOW,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
167,213750,56,37,N,2373,HIGH PERCENTAGE BLACK,OTHER,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,WEAK DEMOCRAT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,SOME COLLEGE,MARRIED,YES,1 CHILD,NO CHILDREN,INAP,RESPONDENT,INAP,WORKING,CRAFTSMEN,NO,NO,INAP,INAP,INAP,INAP,WORKING,CRAFTSMEN,NO,NO,OTHER,NO ETHNIC/NAT ID,NOT ASCERTAINED,INAP,NON-HISPANIC,UNEMPLOYMENT,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,MEXI-AMS/HISPANICS,DK/NA,INAP,INAP,NO,INAP,INAP,INAP,INAP,DK/NA,INAP,DK/NA,INAP,DK/NA,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,OPPOSE,FAVOR,OPPOSE,FAVOR,FAVOR,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,INAP,INAP,56,RENT/DO NOT OWN,"$30,000-40,000",INAP,IMP IF INTEREST AFF,MALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
168,707552,58,95,N,251701,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,NEVER,SELDOM,YES,DUMPS ENVIRONMENT,"POLLUTION, LITTER",PROTESTANT,EVANGELICAL,BAPTIST,HIGH SCHOOL GRAD,SINGLE,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,LABORER,NO,NO,INAP,INAP,INAP,INAP,WORKING,LABORER,NO,NO,AMERICAN INDIAN,AMERICAN INDIAN,ASIAN-AMERICAN,INAP,NON-HISPANIC,THREAT/NUCLEAR WAR,DK/NA,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,SOME ARE,WHITES,NO,INAP,WON'T CHANGE MUCH,OPPOSE,FAVOR,OPPOSE,FAVOR,FAVOR,NO OPINION,FAVOR,FAVOR,OPPOSE,OPPOSE,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,U.S.,NO,ASIA,U.S.,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,INAP,INAP,100,RENT/DO NOT OWN,"LESS THAN $10,000",MONDALE,IMP IF INTEREST AFF,MALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,NON-US BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
169,213938,56,37,N,2167,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,YES,YES,YES,NO,DK/NA,SELDOM,SELDOM,YES,HEALTH MED ISSUES,"POVERTY, WELFARE",PROTESTANT,EVANGELICAL,BAPTIST,COMPLETED COLLEGE,MARRIED,YES,1 CHILD,NO CHILDREN,INAP,SOMEONE ELSE,FRIEND,INAP,INAP,INAP,INAP,OTHER,INAP,INAP,DK/NA,OTHER,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,DK/NA,AMERICAN INDIAN,AMERICAN INDIAN,OTHER/W ASIAN/AM IND,INAP,NON-HISPANIC,ECO:GEN,YES,RACE RELATIONS,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,MOST ARE NOT,INAP,YES,GETTING A JOB,LESS PREJUDICED,NO OPINION,FAVOR,OPPOSE,NO OPINION,FAVOR,FAVOR,FAVOR,FAVOR,NO OPINION,NO OPINION,NO OPINION,OPPOSE,DK/NA,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,FL,INAP,YES,INAP,INAP,60,OWN,"$40,000-60,000",MONDALE,IMPORTANT,MALE,GOOD,FAIRLY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
